398576:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 23105, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 19280, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 19330, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 19305, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 19306, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 19357, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 19571, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 16956, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 13574, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 17700, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 12222, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 11824, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 13965, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 8378, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 8351, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 23038, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 7844, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN1_RS_sk_638603, cellNumber: 0, segmentId: 9681, fractionAlong: 0.5]
