427345:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13088, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13094, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 15396, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 12474, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13880, fractionAlong: 0.5]
419138:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 8915, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 8522, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14681, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 7836, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 8531, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 12000, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14252, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14231, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14533, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13751, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 9554, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 8812, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14335, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13675, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 12611, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 10166, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 8525, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13079, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14164, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13993, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 15022, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14118, fractionAlong: 0.5]
668267:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13962, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13370, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 11002, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13044, fractionAlong: 0.5]
